,name,number_votes,share_votes,district,affiliation
396,DR. BRENNER KOLOMAN,18786,33.26,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAGYŐR-MOSON-SOPRON, 04. számú OEVK - Sopron",Dialogue-coalition
397,HORVÁTH GÁBOR,4112,7.28,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAGYŐR-MOSON-SOPRON, 04. számú OEVK - Sopron",Others
398,SALA ZOLTÁN,1190,2.11,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAGYŐR-MOSON-SOPRON, 04. számú OEVK - Sopron",MEMO
399,DR. GARAB GERGELY,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAGYŐR-MOSON-SOPRON, 04. számú OEVK - Sopron",MKKP
400,LUKÁCSY PÉTER,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAGYŐR-MOSON-SOPRON, 04. számú OEVK - Sopron",Normal party
401,DR. NAGY ISTVÁN,32549,59.23,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAGYŐR-MOSON-SOPRON, 05. számú OEVK - Mosonmagyaróvár",Fidesz/KDNP
402,MAGYAR ZOLTÁN,16746,30.47,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAGYŐR-MOSON-SOPRON, 05. számú OEVK - Mosonmagyaróvár",Dialogue-coalition
403,TAKÁCS MIKLÓS FERENC,2807,5.11,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAGYŐR-MOSON-SOPRON, 05. számú OEVK - Mosonmagyaróvár",Others
404,FÖLDESI ANDRÁS,1663,3.03,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAGYŐR-MOSON-SOPRON, 05. számú OEVK - Mosonmagyaróvár",MKKP
405,MÁCSIK JÁNOS,729,1.33,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAGYŐR-MOSON-SOPRON, 05. számú OEVK - Mosonmagyaróvár",MEMO
406,VARGA RENÁTA,463,0.84,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAGYŐR-MOSON-SOPRON, 05. számú OEVK - Mosonmagyaróvár",Normal party
407,KÓSA LAJOS,23385,48.95,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 01. számú OEVK - Debrecen",Fidesz/KDNP
408,VARGA ZOLTÁN,18994,39.75,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 01. számú OEVK - Debrecen",Dialogue-coalition
409,SALÁNKINÉ KUTI ZSUZSANNA,2912,6.09,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 01. számú OEVK - Debrecen",Others
410,PETŐ CSABA,1681,3.52,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 01. számú OEVK - Debrecen",MKKP
411,HERMANN ZOLTÁN,678,1.42,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 01. számú OEVK - Debrecen",MEMO
412,NAGYNÉ NÉMETH MARIETTA,128,0.27,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 01. számú OEVK - Debrecen",Others
413,POCSAY SÁNDOR GÁBOR,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 01. számú OEVK - Debrecen",Normal party
414,DR. PÓSÁN LÁSZLÓ,27111,55.61,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 02. számú OEVK - Debrecen",Fidesz/KDNP
415,MÁNDI LÁSZLÓ,19560,40.12,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 02. számú OEVK - Debrecen",Dialogue-coalition
416,MORÁN-MIHUCZA SZILVIA,1498,3.07,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 02. számú OEVK - Debrecen",Normal party
417,HUSZTI ANDREA,579,1.19,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 02. számú OEVK - Debrecen",Others
418,RADECZKI CSONGOR,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 02. számú OEVK - Debrecen",MKKP
419,FARKAS TIBOR,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 02. számú OEVK - Debrecen",Others
420,BARANYI RENÁTA,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 02. számú OEVK - Debrecen",MEMO
421,TASÓ LÁSZLÓ,31266,63.51,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 03. számú OEVK - Debrecen",Fidesz/KDNP
422,SALAMON GERGŐ,13627,27.68,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 03. számú OEVK - Debrecen",Dialogue-coalition
423,HUNYADI MÁTÉ,3075,6.25,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 03. számú OEVK - Debrecen",Others
424,HORNYÁK ATTILA,602,1.22,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 03. számú OEVK - Debrecen",MEMO
425,DOBRÁNSZKI LÁSZLÓ,358,0.73,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 03. számú OEVK - Debrecen",Normal party
426,RÓZSÁS VIOLA JULIANNA,177,0.36,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 03. számú OEVK - Debrecen",Others
427,KÁPOSZNYÁK ISTVÁN,128,0.26,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 03. számú OEVK - Debrecen",Others
428,NAGY ISTVÁN,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 03. számú OEVK - Debrecen",Others
429,BALOGH VANESSZA,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 03. számú OEVK - Debrecen",Others
430,DR. VITÁNYI ISTVÁN,25407,61.66,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 04. számú OEVK - Berettyóújfalu",Fidesz/KDNP
431,SZÁNTAI LÁSZLÓ,9483,23.01,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 04. számú OEVK - Berettyóújfalu",Dialogue-coalition
432,MEZEI JÓZSEF,3399,8.25,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 04. számú OEVK - Berettyóújfalu",Others
433,SOMI LAJOS,2270,5.51,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 04. számú OEVK - Berettyóújfalu",Others
434,ZELENÁK ANDRÁS,283,0.69,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 04. számú OEVK - Berettyóújfalu",MEMO
435,FARKAS ANTAL,272,0.66,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 04. számú OEVK - Berettyóújfalu",Normal party
436,KÓTI LÁSZLÓ,92,0.22,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 04. számú OEVK - Berettyóújfalu",Others
437,MOHÁCSI JÓZSEF KÁROLY,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 04. számú OEVK - Berettyóújfalu",Others
438,BODÓ SÁNDOR,26982,60.61,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 05. számú OEVK - Hajdúszoboszló",Fidesz/KDNP
439,KISS LÁSZLÓ,13529,30.39,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 05. számú OEVK - Hajdúszoboszló",Dialogue-coalition
440,DR. TÓTH SÁNDOR,3159,7.1,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 05. számú OEVK - Hajdúszoboszló",Others
441,TÓTH FERENCZ,410,0.92,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 05. számú OEVK - Hajdúszoboszló",MEMO
442,CZIFRA LEVENTE ISTVÁN,332,0.75,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 05. számú OEVK - Hajdúszoboszló",Normal party
443,SIPOS SÁNDOR,102,0.23,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 05. számú OEVK - Hajdúszoboszló",Others
444,NAGY ALBERT,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 05. számú OEVK - Hajdúszoboszló",Others
445,PAPP ZOLTÁN,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 05. számú OEVK - Hajdúszoboszló",Others
446,NAGY LAJOS,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 05. számú OEVK - Hajdúszoboszló",Others
447,DR. TIBA ISTVÁN,26062,58.19,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 06. számú OEVK - Hajdúböszörmény",Fidesz/KDNP
448,HEGEDÜS PÉTER,13929,31.1,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 06. számú OEVK - Hajdúböszörmény",Dialogue-coalition
449,NAGY ZOLTÁN,3504,7.82,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 06. számú OEVK - Hajdúböszörmény",Others
450,ANDORKÓ LÁSZLÓ,641,1.43,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 06. számú OEVK - Hajdúböszörmény",MEMO
451,VARGÁNÉ FÜLÖP ERZSÉBET,468,1.04,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 06. számú OEVK - Hajdúböszörmény",Normal party
452,DOBÁNY LÁSZLÓ,187,0.42,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHAJDÚ-BIHAR, 06. számú OEVK - Hajdúböszörmény",Others
453,DR. PAJTÓK GÁBOR,29703,52.19,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHEVES, 01. számú OEVK - Eger",Fidesz/KDNP
454,BERECZ MÁTYÁS,20772,36.5,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHEVES, 01. számú OEVK - Eger",Dialogue-coalition
455,DR. PÁPAI ÁKOS,3945,6.93,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHEVES, 01. számú OEVK - Eger",Others
456,VASS VERONIKA,1400,2.46,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHEVES, 01. számú OEVK - Eger",MKKP
457,KACSÓ SÁNDOR BÉLA,634,1.11,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHEVES, 01. számú OEVK - Eger",MEMO
458,NAGY ÁGNES,454,0.8,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHEVES, 01. számú OEVK - Eger",Normal party
459,HORVÁTH LÁSZLÓ,28878,54.91,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHEVES, 02. számú OEVK - Gyöngyös",Fidesz/KDNP
460,DUDÁS RÓBERT,19148,36.41,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHEVES, 02. számú OEVK - Gyöngyös",Dialogue-coalition
461,HAJDARA ROLAND,3141,5.97,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHEVES, 02. számú OEVK - Gyöngyös",Others
462,ÉRSEK ZSOLT,915,1.74,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHEVES, 02. számú OEVK - Gyöngyös",Others
463,BARNA RICHÁRD,505,0.96,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHEVES, 02. számú OEVK - Gyöngyös",MEMO
464,GERGELY ANNA,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHEVES, 02. számú OEVK - Gyöngyös",MKKP
465,SEMEGI RICHÁRD,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHEVES, 02. számú OEVK - Gyöngyös",Others
466,SZABÓ ZSOLT,30863,59.06,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHEVES, 03. számú OEVK - Hatvan",Fidesz/KDNP
467,KORÓZS LAJOS,15450,29.56,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHEVES, 03. számú OEVK - Hatvan",Dialogue-coalition
468,GONDA ÁDÁM,4746,9.08,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHEVES, 03. számú OEVK - Hatvan",Others
469,ANTAL GERGŐ,952,1.82,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHEVES, 03. számú OEVK - Hatvan",MEMO
470,KOVÁCS ISTVÁNNÉ,248,0.47,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHEVES, 03. számú OEVK - Hatvan",Others
471,KOMLÓSI GÁBOR,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHEVES, 03. számú OEVK - Hatvan",MKKP
472,MOLNÁR TIBOR,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAHEVES, 03. számú OEVK - Hatvan",Normal party
473,DR. KÁLLAI MÁRIA,24972,46.91,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAJÁSZ-NAGYKUN-SZOLNOK, 01. számú OEVK - Szolnok",Fidesz/KDNP
474,SZIRÁKI PÁL,20864,39.2,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAJÁSZ-NAGYKUN-SZOLNOK, 01. számú OEVK - Szolnok",Dialogue-coalition
475,VINCZE BÉLA,3921,7.37,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAJÁSZ-NAGYKUN-SZOLNOK, 01. számú OEVK - Szolnok",Others
476,VICZÁN PÉTER,1545,2.9,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAJÁSZ-NAGYKUN-SZOLNOK, 01. számú OEVK - Szolnok",MKKP
477,KORPAI ERIKA,650,1.22,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAJÁSZ-NAGYKUN-SZOLNOK, 01. számú OEVK - Szolnok",MEMO
478,DR. CSIKÓS ATTILA,521,0.98,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAJÁSZ-NAGYKUN-SZOLNOK, 01. számú OEVK - Szolnok",Others
479,VARGA MÓNIKA,460,0.86,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAJÁSZ-NAGYKUN-SZOLNOK, 01. számú OEVK - Szolnok",Normal party
480,NÉMETH ATTILA,296,0.56,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAJÁSZ-NAGYKUN-SZOLNOK, 01. számú OEVK - Szolnok",Others
481,PÓCS JÁNOS,28215,59.81,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAJÁSZ-NAGYKUN-SZOLNOK, 02. számú OEVK - Jászberény",Fidesz/KDNP
482,DR. KERTÉSZ OTTÓ,15915,33.74,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAJÁSZ-NAGYKUN-SZOLNOK, 02. számú OEVK - Jászberény",Dialogue-coalition
483,DOBRÁN GYULA,2116,4.49,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAJÁSZ-NAGYKUN-SZOLNOK, 02. számú OEVK - Jászberény",Others
484,OSZVALD NÁNDOR,551,1.17,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAJÁSZ-NAGYKUN-SZOLNOK, 02. számú OEVK - Jászberény",MEMO
485,MAGDA GYÖRGY,265,0.56,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAJÁSZ-NAGYKUN-SZOLNOK, 02. számú OEVK - Jászberény",Normal party
486,BALOGH IMRÉNÉ,111,0.24,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAJÁSZ-NAGYKUN-SZOLNOK, 02. számú OEVK - Jászberény",Others
487,F. KOVÁCS SÁNDOR,29923,64.14,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAJÁSZ-NAGYKUN-SZOLNOK, 03. számú OEVK - Karcag",Fidesz/KDNP
488,DR. LUKÁCS LÁSZLÓ GYÖRGY,13614,29.18,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAJÁSZ-NAGYKUN-SZOLNOK, 03. számú OEVK - Karcag",Dialogue-coalition
489,SOMLAY RÓBERT,2426,5.2,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAJÁSZ-NAGYKUN-SZOLNOK, 03. számú OEVK - Karcag",Others
490,HALMI BÁLINT FERENC,468,1.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAJÁSZ-NAGYKUN-SZOLNOK, 03. számú OEVK - Karcag",MEMO
491,NAGY JÓZSEF,221,0.47,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAJÁSZ-NAGYKUN-SZOLNOK, 03. számú OEVK - Karcag",Others
492,KOVÁCS KINGA,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAJÁSZ-NAGYKUN-SZOLNOK, 03. számú OEVK - Karcag",Normal party
493,HERCZEG ZSOLT,23667,51.5,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAJÁSZ-NAGYKUN-SZOLNOK, 04. számú OEVK - Törökszentmiklós",Fidesz/KDNP
494,CSÁNYI TAMÁS,17047,37.1,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAJÁSZ-NAGYKUN-SZOLNOK, 04. számú OEVK - Törökszentmiklós",Dialogue-coalition
495,SZABÓ BETTINA,3756,8.17,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAJÁSZ-NAGYKUN-SZOLNOK, 04. számú OEVK - Törökszentmiklós",Others
496,FARKAS ATTILA,936,2.04,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAJÁSZ-NAGYKUN-SZOLNOK, 04. számú OEVK - Törökszentmiklós",MKKP
497,SZEGÉNY JÁNOS,399,0.87,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAJÁSZ-NAGYKUN-SZOLNOK, 04. számú OEVK - Törökszentmiklós",Normal party
498,BENCSIK MIHÁLY,148,0.32,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAJÁSZ-NAGYKUN-SZOLNOK, 04. számú OEVK - Törökszentmiklós",Others
499,SZABÓ RÓBERT,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAJÁSZ-NAGYKUN-SZOLNOK, 04. számú OEVK - Törökszentmiklós",MEMO
500,BENCSIK JÁNOS,26240,48.18,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAKOMÁROM-ESZTERGOM, 01. számú OEVK - Tatabánya",Fidesz/KDNP
501,DR. KONCZER ERIK,22417,41.16,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAKOMÁROM-ESZTERGOM, 01. számú OEVK - Tatabánya",Dialogue-coalition
502,BODA BÁNK,2856,5.24,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAKOMÁROM-ESZTERGOM, 01. számú OEVK - Tatabánya",Others
503,BÖRZSEI DÁVID,1429,2.62,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAKOMÁROM-ESZTERGOM, 01. számú OEVK - Tatabánya",MKKP
504,DR. POPOVICS JUDIT,891,1.64,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAKOMÁROM-ESZTERGOM, 01. számú OEVK - Tatabánya",MEMO
505,KEINDL TIBOR,372,0.68,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAKOMÁROM-ESZTERGOM, 01. számú OEVK - Tatabánya",Normal party
506,JÁNOKI TIBOR,252,0.46,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAKOMÁROM-ESZTERGOM, 01. számú OEVK - Tatabánya",Others
507,ERŐS GÁBOR,27795,49.96,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAKOMÁROM-ESZTERGOM, 02. számú OEVK - Esztergom",Fidesz/KDNP
508,NUNKOVICS TIBOR,21587,38.8,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAKOMÁROM-ESZTERGOM, 02. számú OEVK - Esztergom",Dialogue-coalition
509,LANTOS JÁNOS,3047,5.48,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAKOMÁROM-ESZTERGOM, 02. számú OEVK - Esztergom",Others
510,STIPITS ZOLTÁN,1463,2.63,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAKOMÁROM-ESZTERGOM, 02. számú OEVK - Esztergom",MKKP
511,DEÁK FERENC,983,1.77,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAKOMÁROM-ESZTERGOM, 02. számú OEVK - Esztergom",Others
512,GREINER TAMÁS,765,1.37,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAKOMÁROM-ESZTERGOM, 02. számú OEVK - Esztergom",Normal party
513,BANAI BALÁZS,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAKOMÁROM-ESZTERGOM, 02. számú OEVK - Esztergom",MEMO
514,CZUNYINÉ DR. BERTALAN JUDIT,30965,55.1,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAKOMÁROM-ESZTERGOM, 03. számú OEVK - Komárom",Fidesz/KDNP
515,DR. NEMES ANDREA,18605,33.11,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAKOMÁROM-ESZTERGOM, 03. számú OEVK - Komárom",Dialogue-coalition
516,ÁBRAHÁM BARNABÁS,3728,6.63,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAKOMÁROM-ESZTERGOM, 03. számú OEVK - Komárom",Others
517,GOMBOS MÁTÉ,1479,2.63,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAKOMÁROM-ESZTERGOM, 03. számú OEVK - Komárom",MKKP
518,FÜZI GÁBOR,1000,1.78,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAKOMÁROM-ESZTERGOM, 03. számú OEVK - Komárom",MEMO
519,MATUS FERENC,422,0.75,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAKOMÁROM-ESZTERGOM, 03. számú OEVK - Komárom",Normal party
520,BECSÓ ZSOLT,26023,53.85,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSANÓGRÁD, 01. számú OEVK - Salgótarján",Fidesz/KDNP
521,GODÓ BEATRIX,17467,36.15,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSANÓGRÁD, 01. számú OEVK - Salgótarján",Dialogue-coalition
522,DR. MUSZTÁCS LÁSZLÓ,2960,6.13,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSANÓGRÁD, 01. számú OEVK - Salgótarján",Others
523,PAULÓ MIHÁLY TAMÁS,879,1.82,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSANÓGRÁD, 01. számú OEVK - Salgótarján",MKKP
524,KECSKÉS PÉTER,403,0.83,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSANÓGRÁD, 01. számú OEVK - Salgótarján",MEMO
525,PINTÉR ZSOLT,350,0.72,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSANÓGRÁD, 01. számú OEVK - Salgótarján",Normal party
526,KRIZS NORBERT,241,0.5,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSANÓGRÁD, 01. számú OEVK - Salgótarján",Others
527,BALLA MIHÁLY,31921,60.08,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSANÓGRÁD, 02. számú OEVK - Balassagyarmat",Fidesz/KDNP
528,GYENES SZILÁRD,12722,23.95,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSANÓGRÁD, 02. számú OEVK - Balassagyarmat",Dialogue-coalition
529,DÓCS DÁVID,6315,11.89,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSANÓGRÁD, 02. számú OEVK - Balassagyarmat",Others
530,MÁRTON RENÁTA,1097,2.06,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSANÓGRÁD, 02. számú OEVK - Balassagyarmat",MKKP
531,SOPOTNIK LÁSZLÓ,471,0.89,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSANÓGRÁD, 02. számú OEVK - Balassagyarmat",MEMO
532,DR. FRANKFURTER ZSUZSANNA,339,0.64,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSANÓGRÁD, 02. számú OEVK - Balassagyarmat",Others
533,DOMOKOS ZOLTÁN,265,0.5,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSANÓGRÁD, 02. számú OEVK - Balassagyarmat",Normal party
534,OLÁH ALFRÉD,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSANÓGRÁD, 02. számú OEVK - Balassagyarmat",Others
535,DR. ARADSZKI ANDRÁS,29597,45.38,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 01. számú OEVK - Érd",Fidesz/KDNP
536,DR. BŐSZ ANETT,28076,43.05,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 01. számú OEVK - Érd",Dialogue-coalition
537,CSOTT KÁROLY,3220,4.94,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSAPEST, 01. számú OEVK - Érd",Others
