name,year,total_loan,average_loan (in years),appearances,starting_formation,goals,average_minutes_played,market_value_at_start (in M €),market_value_at_end (in M €)
Real Valladolid CF,2008,3,"1,0",38,26,-,63',3.20,3.70
Sporting Gijón,2008,3,"1,0",90,81,2,87',0.5,0.3
UD Almería,2008,3,"1,0",94,78,13,75',2.30,3.60
Getafe CF,2008,3,"2,0",78,44,3,72',4.20,4.50
FC Barcelona,2008,1,"1,0",31,30,-,92',6.00,10.00
Real Madrid,2008,1,"1,0",30,30,2,90',10.00,12.00
Málaga CF,2008,1,"1,0",21,18,-,75',1.40,1.00
CD Numancia,2008,1,"1,0",7,-,1,18',0.2,-
Recreativo Huelva,2008,0,-,-,-,-,-,-,-
RCD Espanyol Barcelona,2009,8,"1,0",147,114,9,83',16.05,8.25
Valencia CF,2009,8,"1,0",153,136,8,85',11.80,12.80
FC Barcelona,2009,6,"1,0",129,102,8,89',57.80,48.30
RCD Mallorca,2009,6,"1,0",187,144,27,86',6.20,5.90
Sevilla FC,2009,6,"1,0",123,102,15,82',11.40,13.10
Racing Santander,2009,4,"1,0",83,41,6,76',4.40,3.50
Deportivo de La Coruña,2009,4,"2,0",142,130,27,87',5.00,6.20
Getafe CF,2009,4,"1,0",64,42,3,73',6.70,5.10
Real Zaragoza,2009,3,"1,0",42,33,2,68',3.70,2.60
CA Osasuna,2009,3,"1,0",32,18,4,62',4.50,3.25
Athletic Bilbao,2009,3,"1,0",80,75,-,85',3.30,2.90
Villarreal CF,2009,3,"2,0",69,56,6,89',8.90,9.50
Málaga CF,2009,3,"1,0",54,40,3,79',4.80,3.40
Real Valladolid CF,2009,2,"1,0",68,63,7,86',1.20,1.50
UD Almería,2009,2,"1,0",73,68,9,87',4.60,2.90
Atlético de Madrid,2009,1,"1,0",15,15,-,90',2.00,2.00
CD Tenerife,2009,1,"2,0",28,15,1,86',0.5,0.7
Sporting Gijón,2009,1,"2,0",35,34,3,90',0.8,0.8
Xerez CD,2009,0,-,-,-,-,-,-,-
Real Madrid,2009,0,-,-,-,-,-,-,-
